Corrected Variable,,Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
info_english_s1_r1_e1,,info_english_s1_r1_e1,info_s1_r1_e1,,radio,Are you fluent in English?,"1, Yes | 0, No",,,,,y,,y,,,,,
info_internet_s1_r1_e1,,info_internet_s1_r1_e1,info_s1_r1_e1,,yesno,Do you have an internet connection that you are willing to use as part of a study?,,,,,,y,,y,,,,,
info_computer_s1_r1_e1,,info_computer_s1_r1_e1,info_s1_r1_e1,,yesno,Do you have a desktop or laptop computer that you are willing to use to complete this study (cannot use phone/tablet)?,,,,,,y,,y,,,,,
info_mobile_s1_r1_e1,,info_mobile_s1_r1_e1,info_s1_r1_e1,,yesno,Are you on mobile right now?,,,,,,y,,y,,,,,
info_mobile_remind_s1_r1_e1,,info_mobile_remind_s1_r1_e1,info_s1_r1_e1,,radio,"Note that for the rest of Part 1 and Part 2, you should be on a desktop or laptop to complete the surveys that follow.","1, Okay",,,,,y,[info_mobile_s1_r1_e1] = '1' or [info_mobile_s1_r1_e1] = '0',y,,,,,
info_note_s1_r1_e1,,info_note_s1_r1_e1,info_s1_r1_e1,,radio,"You will receive an email concerning your eligibility in the next couple of minutes; please do not fill out this form again.

Do you understand that you will shortly receive an email regarding your eligibility for this study?","1, Yes",,,,,y,,y,LV,,,,
consent_1a,,consent_1a,consent_1a,,descriptive,"Please view the consent form written below. You may also download the consent form, which is attached below.",,,,,,,,,,,,,
consent_yn,,consent_yn,consent_1a,,radio,"<div class=""rich-text-field-label""><p>Please read the following information carefully.<br /><br /><br />SUMMARY INFORMATION<br />Things you should know about this study:<br />Purpose: <span style=""font-weight: normal;"">The purpose of the study is to understand how differences among people relate to mental health. We are interested in personality, social, and cognitive differences.</span> </p> <p>Procedures: <span style=""font-weight: normal;"">If you choose to participate, you will be asked to complete a series of surveys and behavioral tasks over the internet. We may also use your contact information to invite you to participate in additional studies. You are only agreeing to participate in this one part of the study and agreeing to be contacted for future studies. You are free to withdraw at any time. You are free to decline and future study. You can also request that your contact information be deleted at any time.</span></p> <p>Duration: <span style=""font-weight: normal;"">This study will take about 1.5 hours.</span></p> <p>Risks: <span style=""font-weight: normal;"">You might feel some slight discomfort when performing the behavioral tasks. You might feel slightly anxious or upset when responding to the surveys about thoughts and feeling. You might feel uncomfortable responding to some of the surveys about drinking behavior or drug use. There is a potential for a breach of confidentiality. However, this is very unlikely. </span></p> <p>Benefits: <span style=""font-weight: normal;"">There is no direct benefit to you from this research. This study may improve the science of cognition and mental health. </span></p> <p>Alternatives: <span style=""font-weight: normal;"">There are no known alternatives available to you other than not taking part in this study. </span></p> <p>Participation: <span style=""font-weight: normal;"">Taking part in this study is voluntary. Please carefully read the entire document before agreeing to participate. Take as much time as you need. Ask any questions you have (see “Researcher Contact Information” below).</span><br /><br />PURPOSE OF THE STUDY<br /><span style=""font-weight: normal;"">The purpose of the study is to understand how differences among people relate to mental health. We are interested in personality, social, and cognitive differences.</span><br /><br />NUMBER OF STUDY PARTICIPANTS<br /><span style=""font-weight: normal;"">About 350 people will participate in this study.</span><br /><br />DURATION OF THE STUDY<br /><span style=""font-weight: normal;"">This study will take about 1.5 hours. We might contact you for future studies. Future studies will involve a consent process (like this one). You can request that your contact information be deleted at any time. </span><br /><br />PROCEDURES<br /><span style=""font-weight: normal;"">If you agree to be in the study, we will ask you to do the following things: </span></p> <p><span style=""font-weight: normal;"">1. Complete surveys over the internet. The surveys will assess personal information, cognitive abilities, social abilities, and mental health. </span></p> <p><span style=""font-weight: normal;"">2. Complete computer tasks over the internet. </span></p> <p><span style=""font-weight: normal;"">3. We may contact you for future studies. You can stop at any time. You can decline future studies. You can request that your contact information be deleted at any time. You can request that your data not be used.</span><br /><br />RISKS AND/OR DISCOMFORTS<br /><span style=""font-weight: normal;"">The study has the following possible risks to you. You might feel some slight discomfort when performing the behavioral tasks. You might feel slightly anxious or upset when responding to the surveys about thoughts and feeling. You might feel uncomfortable responding to some of the surveys about drinking behavior or drug use. However, any such discomfort from the tasks or surveys is likely to be minimal and short-lived. There is a potential for a breach of confidentiality. However, this is very unlikely. Many protocols have been put in place to minimize this possibility.</span><br /><br />BENEFITS<br /><span style=""font-weight: normal;"">This study does not provide any direct benefits to you. This study may improve the science of cognition and mental health.</span><br /><br />ALTERNATIVES<br /><span style=""font-weight: normal;"">There are no known alternatives available to you other than not taking part in this study. Any significant new findings developed during the course of the research which may relate to your willingness to continue participation will be provided to you.</span><br /><br />CONFIDENTIALITY<br /><span style=""font-weight: normal;"">The records of this study will be kept private and will be protected to the fullest extent provided by law. In any report that we publish we will not include any information that will make it possible to identify you. Research records will be stored securely. Only the researcher team will have access to the records. Your records may be inspected by authorized University or other agents who will also keep the information confidential.</span><br /><span style=""font-weight: normal;"">All identifiable data about you will be password-protected and encrypted. This data will be kept on secure servers or hard drives kept in secure, locked offices. This information will only be accessible by authorized study personnel. These study personnel completed appropriate training and provided written consent to maintain strict confidentiality. Your contact information will be kept separate from study data. Study data will be associated with a unique ID number. Your contact information may be used to contact you for future studies. You can request that your contact information be deleted at any time. </span><br /><br />USE OF YOUR INFORMATION<br /><span style=""font-weight: normal;"">Identifiers about you might be removed from the identifiable private information. After such removal, the information could be used for future research studies or distributed to another investigator for future research studies. This can be done without additional informed consent from you or your legally authorized representative.</span><br /><br /><span style=""font-weight: normal;"">If you participate in additional studies, the data will be linked via an anonymous number. This will allow the data to be analyzed together, but not identify you in any way.</span><br /><span style=""font-weight: normal;"">Anonymized data from this study may be made publicly accessible. For example, anonymized data may be posted to the Open Science Framework (https://osf.io/) or the OpenNeuro project (https://openneuro.org/). This data may include survey responses, task performance, and analyses or information supplied by researchers. The anonymized data can be used for re-analysis but also for additional analyses, by the same or other researchers. Any personal information that could directly identify you will be removed before data and results are made public. No method for re-identifying the data will be made public.</span><br /><br />COMPENSATION & COSTS<br /><span style=""font-weight: normal;"">You will receive a payment of either 1.5 credits or $22.50 for this study. There are no costs to you for participating.</span><br /><span style=""font-weight: normal;"">If you signed up for this study through the Sona Systems then you will receive .5 credits per half hour. You will receive 1.5 credits for because this study will take about 1.5 hours.</span><br /><span style=""font-weight: normal;"">If you did NOT sign up for this study through the Sona Systems, then you will receive $7.50 per half hour. You will receive $22.50 because this study will take about 1.5 hours. If you stop early, you will be paid $7.50 for each half hour completed, rounded up to the nearest hour.</span><br /><br /><br /><span style=""font-weight: normal;"">If you did NOT sign up for this study through Prolific, then you will receive payment through Venmo. Your phone number or email will need to be validated before you are paid on Venmo.</span><br /><span style=""font-weight: normal;"">If you DID sign up for this study through Prolific, then you will be paid through the Prolific website after your submission is reviewed and approved.</span><br /><br />RIGHT TO DECLINE OR WITHDRAW<br /><span style=""font-weight: normal;"">Your participation in this study is voluntary. You are free to participate in the study or withdraw your consent at any time during the study. You will not lose any benefits if you decide not to participate or if you quit the study early. The investigator reserves the right to remove you without your consent at such time that they feel it is in the best interest. You may ask that your data not be used.</span><br /><br />RESEARCHER CONTACT INFORMATION<br /><span style=""font-weight: normal;"">If you have any questions about this study you may contact Dr. George Buzzell. gbuzzell@fiu.edu; 703-851-5843.</span><br /><br />IRB CONTACT INFORMATION<br /><span style=""font-weight: normal;"">If you would like to talk with someone about your rights of being a subject in this research study or about ethical issues with this research study, you may contact the FIU Office of Research Integrity by phone at 305-348-2494 or by email at ori@fiu.edu.</span><br /><br />PARTICIPANT AGREEMENT<br /><span style=""font-weight: normal;"">I have read the information in this consent form and agree to participate in this study. I have had a chance to ask any questions I have about this study, and they have been answered for me. By clicking on the ""consent to participate"" button below I am providing my informed consent.</span><br /><br />Do you consent?</p></div>","1, Consent to participate",,,,,,,y,LH,,,,
demo_mob_s1_r1_e1,,demo_mob_s1_r1_e1,demo_s1_r1_e1,,text,In what month were you born (1-12)?,,,integer,1,12,y,,y,,,,,
demo_yob_s1_r1_e1,,demo_yob_s1_r1_e1,demo_s1_r1_e1,,text,In what year were you born?,,,integer,1900,2050,,,y,,,,,
demo_dob_s1_r1_e1,,demo_dob_s1_r1_e1,demo_s1_r1_e1,,text,What's your date of birth?,,,date_mdy,1/1/90,,y,[demo_yob_s1_r1_e1] = '999999999999999',y,,,,,
demo_hand_s1_r1_e1,,demo_hand_s1_r1_e1,demo_s1_r1_e1,,radio,Are you right or left handed?,"1, Right handed | 2, Left handed | 3, Ambidextrous (use right and left hand equally)",,,,,,,y,,,,,
demo_pronouns_s1_r1_e1,,demo_pronouns_s1_r1_e1,demo_s1_r1_e1,,radio,What pronouns do you use to refer to yourself?,"1, She/her/hers | 2, He/him/his | 3, They/them | 4, Prefer not to say | 5, Other (please specify)",,,,,,,y,,,,,
demo_otherpron_s1_r1_e1,,demo_otherpron_s1_r1_e1,demo_s1_r1_e1,,text,,,,,,,,[demo_pronouns_s1_r1_e1] = '5',y,,,,,
demo_sex_s1_r1_e1,,demo_sex_s1_r1_e1,demo_s1_r1_e1,,radio,What is the biological sex you were assigned at birth?,"1, Male | 2, Female | 3, Intersex | 4, Other | 5, Unknown | 6, Prefer not to say",,,,,,,y,,,,,
demo_gender_s1_r1_e1,,demo_gender_s1_r1_e1,demo_s1_r1_e1,,text,How do you currently describe your gender identity?,,,,,,,,y,,,,,
demo_orientation_s1_r1_e1,,demo_orientation_s1_r1_e1,demo_s1_r1_e1,,text,"How do you currently describe your sexual identity (sexual orientation/attraction)? If you prefer not to answer, write ""prefer not to answer"".",,,,,,,,y,,,,,
demo_ethnic_s1_r1_e1,,demo_ethnic_s1_r1_e1,demo_s1_r1_e1,,checkbox,What categories describe you? Select all that apply to you:,"1, American Indian or Alaska Native-For example, Navajo Nation, Blackfeet Tribe, Mayan, Aztec, Native Village of Barrow Inupiat Traditional Government, Nome Eskimo Community | 2, Asian-For example, Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese | 3, Black or African American-For example, Jamaican, Haitian, Nigerian, Ethiopian, Somalian | 4, Hispanic, Latino or Spanish Origin-For example, Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Columbian | 5, Middle Eastern or North African-For example, Lebanese, Iranian, Egyptian, Syrian, Moroccan, Algerian | 6, Native Hawaiian or Other Pacific Islander-For example, Native Hawaiian, Samoan, Chamorro, Tongan, Fijian, Marshallese | 7, White-For example, German, Irish, English, Italian, Polish, French | 8, Some other race, ethnicity, or origin. (Please specify) | 9, I prefer not to answer",,,,,,,y,,,,,
demo_otherethnic_s1_r1_e1,,demo_otherethnic_s1_r1_e1,demo_s1_r1_e1,,text,,,,,,,,[demo_ethnic_s1_r1_e1(8)] = '1',y,,,,,
demo_location_s1_r1_e1,,demo_location_s1_r1_e1,demo_s1_r1_e1,,radio,Where do you live?,"1, Midwest-Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, North Dakota, South Dakota, Wisconsin | 2, Northeast-Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont | 3, South-Arkansas, Alabama, Delaware, District of Columbia, Florida,  Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, Oklahoma, South Carolina, Tennessee, Texas, Virginia, West Virginia | 4, West-Alaska, Arizona, California, Colorado, Hawaii, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, Wyoming | 5, Puerto Rico or other U.S. territories | 6, Other (please specify)",,,,,,,y,,,,,
demo_otherloc_s1_r1_e1,,demo_otherloc_s1_r1_e1,demo_s1_r1_e1,,text,,,,,,,,[demo_location_s1_r1_e1] = '6',y,,,,,
demo_edu_s1_r1_e1,,demo_edu_s1_r1_e1,demo_s1_r1_e1,,checkbox,Which category describes your education? Select all that apply to you:,"1, Some high school | 2, High school diploma or equivalent | 3, Vocational training | 4, Some college | 5, Associate's degree (e.g., AA, AE, AFA, AS, ASN) | 6, Bachelor's degree (e.g., BA, BBA BFA, BS) | 7, Some post undergraduate work | 8, Master's degree (e.g., MA, MBA, MFA, MS, MSW) | 9, Specialist degree (e.g., EdS) | 10, Applied or professional doctorate degree (e.g., MD, DDC, DDS, JD, PharmD) | 11, Doctorate degree (e.g., EdD, PhD) | 12, Other (please specify)",,,,,,,y,,,,,
demo_othered_s1_r1_e1,,demo_othered_s1_r1_e1,demo_s1_r1_e1,,text,,,,,,,,[demo_edu_s1_r1_e1(12)] = '1',y,,,,,
demo_student_s1_r1_e1,,demo_student_s1_r1_e1,demo_s1_r1_e1,,radio,Are you currently a student?,"1, Yes, full-time | 2, Yes, part-time | 3, No",,,,,,,y,,,,,
demo_major_s1_r1_e1,,demo_major_s1_r1_e1,demo_s1_r1_e1,,text,"If yes, what is your major? (please specify)",,,,,,,[demo_student_s1_r1_e1] = '2' or [demo_student_s1_r1_e1] = '1',y,,,,,
demo_employment_s1_r1_e1,,demo_employment_s1_r1_e1,demo_s1_r1_e1,,radio,Are you currently employed?,"1, Yes, full-time | 2, Yes, part-time | 3, No",,,,,,,y,,,,,
demo_children_s1_r1_e1,,demo_children_s1_r1_e1,demo_s1_r1_e1,,radio,"Do you have biological, adopted, foster, or step children?","1, No | 2, No, but I am (or my partner is) pregnant or in the process of adopting | 3, Yes",,,,,,,y,,,,,
demo_kidages_s1_r1_e1,,demo_kidages_s1_r1_e1,demo_s1_r1_e1,,text,"If yes, what are the ages of any children that live with you? If you prefer not to answer, write ""prefer not to answer"".",,,,,,,[demo_children_s1_r1_e1] = '3',y,,,,,
demo_religion_s1_r1_e1,,demo_religion_s1_r1_e1,demo_s1_r1_e1,,text,"How do you describe your religion, spiritual practice, or existential worldview? If you prefer not to answer, write ""prefer not to answer"".",,,,,,,,y,,,,,
demo_socialclass_s1_r1_e1,,demo_socialclass_s1_r1_e1,demo_s1_r1_e1,,radio,Which social class group do you identify with?,"1, Poor | 2, Working class | 3, Middle class | 4, Affluent",,,,,,,y,,,,,
demo_income_s1_r1_e1,,demo_income_s1_r1_e1,demo_s1_r1_e1,,radio,"Please check the category that tells us your approximate total family income for A YEAR. Consider all sources of income, including earnings, welfare cash assistance, child support alimonies, support from other members of your household who regularly contribute to your household, etc.","1, Less than $10,000 | 2, $10,001 to $15,000 | 3, $15,001 to $25,000 | 4, $25,001 to $50,000 | 5, $50,001 to $75,000 | 6, $75,001 to $100,000 | 7, $100,001 to $150,000 | 8, $150,00 to $200,000 | 9, more than $200,000.",,,,,,,y,,,,,
demo_sleep_s1_r1_e1,,demo_sleep_s1_r1_e1,demo_s1_r1_e1,,text,How many hours of sleep do you typically get in a night?,,,integer,0,24,,,y,,,,,
demo_exercise_s1_r1_e1,,demo_exercise_s1_r1_e1,demo_s1_r1_e1,,radio,How much do you exercise?,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Every day",,,,,,,y,,,,,
demo_diet_s1_r1_e1,,demo_diet_s1_r1_e1,demo_s1_r1_e1,,radio,How healthy is your diet?,"1, Not very healthy | 2, A bit unhealthy | 3, Average | 4, A bit healthy | 5, Very healthy",,,,,,,y,,,,,
demo_caffeine_s1_r1_e1,,demo_caffeine_s1_r1_e1,demo_s1_r1_e1,,radio,"Compared to most people, how much caffeine do you typically consume each day?","1, I do not regularly drink caffeine | 2, Much less than most people | 3, A little less than most people | 4, About the same as most people | 5, A little more than most people | 6, Much more than most people",,,,,,,y,,,,,
demo_takemeds_s1_r1_e1,,demo_takemeds_s1_r1_e1,demo_s1_r1_e1,,radio,Are you currently taking any medications?,"1, Yes (please specify) | 2, No",,,,,,,y,,,,,
demo_medications_s1_r1_e1,,demo_medications_s1_r1_e1,demo_s1_r1_e1,,notes,"If yes, please specify drug name, dosage, and how long you have been taking this medication at this dosage",,,,,,,[demo_takemeds_s1_r1_e1] = '1',,,,,,
demo_diagnose_s1_r1_e1,,demo_diagnose_s1_r1_e1,demo_s1_r1_e1,,radio,"Have you currently/previously been diagnosed with a mental health disorder (anxiety, depression, etc.)?","1, Yes (please specify) | 2, No | 3, I prefer not to answer",,,,,,,y,,,,,
demo_disorders_s1_r1_e1,,demo_disorders_s1_r1_e1,demo_s1_r1_e1,,notes,"If yes, please specify which disorder(s):",,,,,,,[demo_diagnose_s1_r1_e1] = '1',y,,,,,
demo_chronic_s1_r1_e1,,demo_chronic_s1_r1_e1,demo_s1_r1_e1,,radio,"Do you have a long-lasting or chronic condition (physical, visual, auditory, cognitive or mental, emotional, or other) that substantially limits one or more of your major life activities (your ability to see, hear, or speak; to learn, remember, or concentrate; to move)?","1, Yes (please specify) | 2, No",,,,,,,y,,,,,
demo_conditions_s1_r1_e1,,demo_conditions_s1_r1_e1,demo_s1_r1_e1,,notes,"If yes, please specify which disorder(s):",,,,,,,[demo_chronic_s1_r1_e1] = '1',y,,,,,
covid_i1_sub1_s1_r1_e1,,covid_i1_sub1_s1_r1_e1,covid_s1_r1_e1,"For each of the following questions, please answer what has been true, on average, over the course of the one-year period immediately prior to the pandemic (March 1, 2019 - March 1, 2020)

How would you rate the quality of relationships and social interactions with:",radio,Family or close friends?,"0, Poor | 1,  | 2,  | 3,  | 4,  | 5, Okay | 6,  | 7,  | 8,  | 9,  | 10, Very good",,,,,,,y,,,precovid_1_f49402,,
covid_i1_sub2_s1_r1_e1,,covid_i1_sub2_s1_r1_e1,covid_s1_r1_e1,,radio,"Classmates, coworkers, or other acquaintances?","0, Poor | 1,  | 2,  | 3,  | 4,  | 5, Okay | 6,  | 7,  | 8,  | 9,  | 10, Very good",,,,,,,y,,,precovid_1_f49402,,
covid_i1_sub3_s1_r1_e1,,covid_i1_sub3_s1_r1_e1,covid_s1_r1_e1,,radio,New people?,"0, Poor | 1,  | 2,  | 3,  | 4,  | 5, Okay | 6,  | 7,  | 8,  | 9,  | 10, Very good",,,,,,,y,,,precovid_1_f49402,,
covid_i2_s1_r1_e1,,covid_i2_s1_r1_e1,covid_s1_r1_e1,,radio,"Did you have the ability to engage in live audio/video streaming (via smartphone, computer, tablet, etc.) if you wanted to?","3, Yes, whenever I wanted to | 2, Yes, but sometimes this was not possible | 1, Yes, but access was very intermittent | 0, No",,,,,,,y,,,,,
covid_i3_sub1_s1_r1_e1,,covid_i3_sub1_s1_r1_e1,covid_s1_r1_e1,"If given the choice, between the following options, how did you prefer to interact with:",radio,Family or close friends?,"1, Via traditional letter writing or email | 2, Through social media (e.g., Facebook, Twitter, Instagram, TikTok, etc.) | 3, Via text messaging (via a messaging application on the phone or computer) | 4, Through voice calls (e.g., via phone or audio-only streaming device) | 5, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) | 6, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) but with my video turned off | 7, In person",,,,,,,y,,,precovid_2_107c88,,
covid_i3_sub2_s1_r1_e1,,covid_i3_sub2_s1_r1_e1,covid_s1_r1_e1,,radio,"Classmates, coworkers, or other acquaintances?","1, Via traditional letter writing or email | 2, Through social media (e.g., Facebook, Twitter, Instagram, TikTok, etc.) | 3, Via text messaging (via a messaging application on the phone or computer) | 4, Through voice calls (e.g., via phone or audio-only streaming device) | 5, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) | 6, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) but with my video turned off | 7, In person",,,,,,,y,,,precovid_2_107c88,,
covid_i3_sub3_s1_r1_e1,,covid_i3_sub3_s1_r1_e1,covid_s1_r1_e1,,radio,New people?,"1, Via traditional letter writing or email | 2, Through social media (e.g., Facebook, Twitter, Instagram, TikTok, etc.) | 3, Via text messaging (via a messaging application on the phone or computer) | 4, Through voice calls (e.g., via phone or audio-only streaming device) | 5, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) | 6, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) but with my video turned off | 7, In person",,,,,,,y,,,precovid_2_107c88,,
covid_i4_sub1_s1_r1_e1,,covid_i4_sub1_s1_r1_e1,covid_s1_r1_e1,"For each of the following questions, please answer what has been true, on average, over the course of the one-year period that started with the onset of the pandemic (March 1, 2020 - March 1, 2021)

How would you rate the quality of relationships and social interactions with:",radio,Family or close friends?,"0, Poor | 1,  | 2,  | 3,  | 4,  | 5, Okay | 6,  | 7,  | 8,  | 9,  | 10, Very good",,,,,,,y,,,postcovid_1_35088a,,
covid_i4_sub2_s1_r1_e1,,covid_i4_sub2_s1_r1_e1,covid_s1_r1_e1,,radio,"Classmates, coworkers, or other acquaintances?","0, Poor | 1,  | 2,  | 3,  | 4,  | 5, Okay | 6,  | 7,  | 8,  | 9,  | 10, Very good",,,,,,,y,,,postcovid_1_35088a,,
covid_i4_sub3_s1_r1_e1,,covid_i4_sub3_s1_r1_e1,covid_s1_r1_e1,,radio,New people?,"0, Poor | 1,  | 2,  | 3,  | 4,  | 5, Okay | 6,  | 7,  | 8,  | 9,  | 10, Very good",,,,,,,y,,,postcovid_1_35088a,,
covid_i5_s1_r1_e1,,covid_i5_s1_r1_e1,covid_s1_r1_e1,,radio,"Did you have the ability to engage in live audio/video streaming (via smartphone, computer, tablet, etc.) if you wanted to?","3, Yes, whenever I wanted to | 2, Yes, but sometimes this was not possible | 1, Yes, but access was very intermittent | 0, No",,,,,,,y,,,,,
covid_i6_sub1_s1_r1_e1,,covid_i6_sub1_s1_r1_e1,covid_s1_r1_e1,"If given the choice, between the following options, how did you prefer to interact with:",radio,Family or close friends?,"1, Via traditional letter writing or email | 2, Through social media (e.g., Facebook, Twitter, Instagram, TikTok, etc.) | 3, Via text messaging (via a messaging application on the phone or computer) | 4, Through voice calls (e.g., via phone or audio-only streaming device) | 5, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) | 6, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) but with my video turned off | 7, In person",,,,,,,y,,,postcovid_2_9bcf22,,
covid_i6_sub2_s1_r1_e1,,covid_i6_sub2_s1_r1_e1,covid_s1_r1_e1,,radio,"Classmates, coworkers, or other acquaintances?","1, Via traditional letter writing or email | 2, Through social media (e.g., Facebook, Twitter, Instagram, TikTok, etc.) | 3, Via text messaging (via a messaging application on the phone or computer) | 4, Through voice calls (e.g., via phone or audio-only streaming device) | 5, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) | 6, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) but with my video turned off | 7, In person",,,,,,,y,,,postcovid_2_9bcf22,,
covid_i6_sub3_s1_r1_e1,,covid_i6_sub3_s1_r1_e1,covid_s1_r1_e1,,radio,New people?,"1, Via traditional letter writing or email | 2, Through social media (e.g., Facebook, Twitter, Instagram, TikTok, etc.) | 3, Via text messaging (via a messaging application on the phone or computer) | 4, Through voice calls (e.g., via phone or audio-only streaming device) | 5, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) | 6, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) but with my video turned off | 7, In person",,,,,,,y,,,postcovid_2_9bcf22,,
covid_i7_s1_r1_e1,,covid_i7_s1_r1_e1,covid_s1_r1_e1,,checkbox,Were you exposed to someone likely to have Coronavirus/COVID-19? (check all that apply),"1, Yes, someone with positive test | 2, Yes, someone with medical diagnosis, but no test | 3, Yes, someone with possible symptoms, but no diagnosis by doctor | 4, No, not to my knowledge",,,,,,,y,,,,,
covid_i8_s1_r1_e1,,covid_i8_s1_r1_e1,covid_s1_r1_e1,,radio,Were you ever suspected of having Coronavirus/COVID-19 infection?,"1, Yes, has positive test | 2, Yes, medical diagnosis, but no test | 3, Yes, have had some possible symptoms, but no diagnosis by doctor | 4, No, no symptoms or signs",,,,,,,y,,,,,
covid_i9_s1_r1_e1,,covid_i9_s1_r1_e1,covid_s1_r1_e1,,checkbox,"Have any of your family members, close friends, or roommates been diagnosed with
Coronavirus/COVID-19? (check all that apply)","1, Yes, family member that I live with | 2, Yes, close friend that I live with | 3, Yes, roommate (that is not a close friend) | 4, Yes, family member that I do not live with | 5, Yes, close friend that I do not live with | 6, No",,,,,,,y,,,,,
covid_i10_s1_r1_e1,,covid_i10_s1_r1_e1,covid_s1_r1_e1,,checkbox,"Have any of the following happened to your family members, close friends, or roommates because of Coronavirus/COVID-19? (check all that apply)","1, Fallen ill physically | 2, Hospitalized | 3, Put into self-quarantine with symptoms | 4, Put into self-quarantine without symptoms (e.g., due to possible exposure) | 5, Lost or been laid off from job | 6, Reduced ability to earn money | 7, Passed away | 8, None of the above",,,,,,,y,,,,,
covid_i11_sub1_s1_r1_e1,,covid_i11_sub1_s1_r1_e1,covid_s1_r1_e1,"For the following questions, consider this question: Compared to the one-year period immediately prior to the pandemic (March 1, 2019 - March 1, 2020), how much more/less did you engage in the following, on average, during the one-year period that started with the onset of the pandemic (March 1, 2020 - March 1, 2021)?

How much did you engage in traditional letter writing or email to interact with:",radio,Family or close friends?,"0, Much less | 1,  | 2,  | 3,  | 4,  | 5, The same | 6,  | 7,  | 8,  | 9,  | 10, Much more",,,,,,,y,,,postcovid_3_b010f2,,
covid_i11_sub2_s1_r1_e1,,covid_i11_sub2_s1_r1_e1,covid_s1_r1_e1,,radio,"Classmates, coworkers, or other acquaintances?","0, Much less | 1,  | 2,  | 3,  | 4,  | 5, The same | 6,  | 7,  | 8,  | 9,  | 10, Much more",,,,,,,y,,,postcovid_3_b010f2,,
